epoch,train_loss,val_CER
0,141,1079.39746
1,3.36,100.00000
2,3.16,
3,2.97,
4,2.75,99.73416
5,2.44,92.15773
6,2.16,88.56889
7,1.97,76.84980
8,1.84,74.39079
9,1.73,61.65264
10,1.57,53.30084
11,1.43,46.01241
12,1.31,36.97386
13,1.21,34.58130
14,1.15,31.10324
15,1.11,
16,1.05,30.15064
17,1.01,26.91626
18,1.05,
19,0.956,25.94151
20,0.927,
21,0.876,23.88126
22,0.875,23.32743
23,0.848,
24,0.85,
25,0.828,23.19451
26,0.772,21.64377
27,0.767,
28,0.794,
29,0.792,
30,0.726,21.44440
31,0.751,
32,0.76,
33,0.721,
34,0.707,20.33673
35,0.708,
36,0.74,
37,0.685,
38,0.673,
39,0.632,19.69428
40,0.584,18.71954
41,0.605,
42,0.565,
43,0.535,17.52326
44,0.533,
45,0.527,
46,0.534,
47,0.484,
48,0.488,
49,0.488,17.16881
50,0.455,16.57067
51,0.456,
52,0.451,16.26052
53,0.445,
54,0.424,15.75100
55,0.413,15.46300
56,0.388,
57,0.427,
58,0.401,
59,0.343,15.17501
60,0.356,
61,0.373,
62,0.339,
63,0.367,
64,0.327,
65,0.315,
66,0.317,
67,0.284,14.97563
68,0.281,14.79840
69,0.295,14.08950
70,0.267,
71,0.273,
72,0.236,13.95658
73,0.247,
74,0.231,
75,0.219,13.49136
76,0.214,
77,0.196,13.24767
78,0.214,
79,0.204,
80,0.195,
81,0.189,
82,0.18,
83,0.177,
84,0.172,
85,0.165,12.93753
86,0.177,12.87107
87,0.161,
88,0.153,12.73815
89,0.14,
90,0.143,
91,0.126,
92,0.142,12.45016
93,0.133,
94,0.121,
95,0.123,
96,0.112,12.14001
97,0.114,
98,0.115,
99,0.108,
100,0.104,
101,0.0927,11.40895
102,0.0943,
103,0.0879,
104,0.1,
105,0.0899,
106,0.0775,
107,0.0845,
108,0.0772,
109,0.0722,
110,0.0787,
111,0.0716,
112,0.072,
113,0.0764,
114,0.0709,
115,0.0641,
116,0.0626,
117,0.0652,11.25388
118,0.0617,
119,0.0641,10.94373
120,0.0589,
121,0.0602,
122,0.0631,
123,0.057,
124,0.0482,
125,0.0594,
126,0.0528,10.81081
127,0.055,
128,0.0468,
129,0.055,10.72220
130,0.0553,
131,0.0449,10.52282
132,0.0514,
133,0.0589,
134,0.0483,
135,0.0479,
136,0.0452,
137,0.0434,
138,0.0426,
139,0.0449,
140,0.0444,
141,0.0448,
142,0.0477,
143,0.0508,
144,0.045,
145,0.0483,
146,0.0495,
147,0.0442,
148,0.047,
149,0.0428,
